Description,Weight,ExportField,ExportField2
Accuracy Rating,-1,+ to Accuracy Rating,
Additional All Attributes,10,+ to all Attributes,
Additional Dexterity,8,+ to Dexterity,
Additional Intelligence,8,+ to Intelligence,
Additional Strength,8,+ to Strength,
Armor Rating,5,+ to Armour,
Armor Rating +%,8,% increased Armour,
Attack Speed +%,10,% increased Attack Speed,
Base Cast Speed +%,10,% increased Cast Speed,
Base Chaos Dmg Resistance %,8,+% to Chaos Resistance,
Base Cold Dmg Resistance %,8,+% to Cold Resistance,
Base Critical Strike Multiplier +%,6,% increased Global Critical Strike Multiplier,
Base Evasion Rating,5,+ to Evasion Rating,
Base Fire Dmg Resistance %,8,+% to Fire Resistance,
Base Item Found Quantity +%,5,% increased Quantity of Items found,
Base Item Found Rarity +%,5,% increased Rarity of Items found,
Base Life Regeneration Rate Per Second,5,Life Regenerated per second,
Base Lightning Dmg Resistance %,8,+% to Lightning Resistance,
Base Max Energy Shield,5,+ to maximum Energy Shield,
Base Max Life,10,+ to maximum Life,
Base Max Mana,5,+ to maximum Mana,
Base Min Added Cold Dmg / Base Max Added Cold Dmg,7,Adds Cold Damage,
Base Min Added Fire Dmg / Base Max Added Fire Dmg,7,Adds Fire Damage,
Base Min Added Lightning Dmg / Base Max Added Lightning Dmg,7,Adds Lightning Damage,
Base Min Added Physical Dmg / Base Max Added Physical Dmg,7,Adds Physical Damage,
Base Movement Velocity +%,10,% increased Movement Speed,
Base Resist All Elements %,10,+% to all Elemental Resistances,
Base Stun Duration +%,3,% increased Stun Duration on enemies,
Base Stun Recovery +%,3,% increased Stun Recovery,
Base Stun Threshold Reduction +%,3,% reduced Enemy Stun Threshold,
Charges Gained +%,-1,% increased Flask Charges gained,
Cold Dmg +%,7,% increased Cold Damage,
Critical Strike Chance +%,8,% increased Global Critical Strike Chance,
Evasion Rating +%,8,% increased Evasion Rating,
Fire Dmg +%,7,% increased Fire Damage,
Flask Charges Used +%,1,% reduced Flask Charges used,
Flask Duration +%,3,% increased Flask effect duration,
Flask Life Recovery Rate +%,-1,% increased Flask Life Recovery rate,
Flask Mana Recovery Rate +%,-1,% increased Flask Mana Recovery rate,
Life Gained On Enemy Death,3,+ Life gained on Kill,
Life Gain Per Target,5,+ Life gained for each enemy hit by your Attacks,
Life Leech From Physical Dmg %,8,% of Physical Attack Damage Leeched as Life,
Lightning Dmg +%,7,% increased Lightning Damage,
Light Radius / +Accuracy Rating,-1,% increased Light Radius,+ to Accuracy Rating
Light Radius / Accuracy Rating +%,-1,% increased Light Radius,% increased Accuracy Rating
Local Accuracy Rating,-1,+ to Accuracy Rating,
Local Additional Block Chance %,-1,% additional Block Chance,
Local Armor +%,8,% increased Armour,
Local Armor +% / Base Stun Recovery +%,6,% increased Armour,% increased Stun Recovery
Local Armor Rating,5,+ to Armour,
Local Armour And Energy Shield +%,8,% increased Armour and Energy Shield,
Local Armour And Energy Shield +% / Base Stun Recovery +%,6,% increased Armour and Energy Shield,% increased Stun Recovery
Local Armour And Evasion +%,8,% increased Armour and Evasion,
Local Armour And Evasion +% / Base Stun Recovery +%,6,% increased Armour and Evasion,% increased Stun Recovery
Local Attack Speed +%,10,% increased Attack Speed,
Local Attribute Requirements -%,-1,% reduced Attribute Requirements,
Local Critical Strike Chance +%,8,% increased Critical Strike Chance,
Local Energy Shield,5,+ to maximum Energy Shield,
Local Energy Shield +%,8,% increased Energy Shield,
Local Energy Shield +% / Base Stun Recovery +%,6,% increased Energy Shield,% increased Stun Recovery
Local Evasion And Energy Shield +%,8,% increased Evasion and Energy Shield,
Local Evasion And Energy Shield +% / Base Stun Recovery +%,6,% increased Evasion and Energy Shield,% increased Stun Recovery
Local Evasion Rating,5,+ to Evasion Rating,
Local Evasion Rating +%,8,% increased Evasion Rating,
Local Evasion Rating +% / Base Stun Recovery +%,6,% increased Evasion Rating,% increased Stun Recovery
Local Min Added Cold Dmg / Local Max Added Cold Dmg,7,Adds Cold Damage,
Local Min Added Fire Dmg / Local Max Added Fire Dmg,7,Adds Fire Damage,
Local Min Added Lightning Dmg / Local Max Added Lightning Dmg,7,Adds Lightning Damage,
Local Min Added Physical Dmg / Local Max Added Physical Dmg,7,Adds Physical Damage,
Local Physical Dmg +%,8,% increased Physical Damage,
Local Physical Dmg +% / Local Accuracy Rating,6,% increased Physical Damage,+ to Accuracy Rating
Local Socketed Bow Gem Level +,10,+ to Level of Socketed Bow Gems,
Local Socketed Cold Gem Level +,10,+ to Level of Socketed Cold Gems,
Local Socketed Fire Gem Level +,10,+ to Level of Socketed Fire Gems,
Local Socketed Gem Level +,10,+ to Level of Socketed Gems,
Local Socketed Lightning Gem Level +,10,+ to Level of Socketed Lightning Gems,
Local Socketed Melee Gem Level +,10,+ to Level of Socketed Melee Gems,
Local Socketed Minion Gem Level +,10,+ to Level of Socketed Minion Gems,
Mana Gained On Enemy Death,3,+ Mana Gained on Kill,
Mana Leech From Physical Dmg %,8,% of Physical Attack Damage Leeched as Mana,
Mana Regeneration Rate +%,5,% increased Mana Regeneration Rate,
Max Energy Shield +%,8,% increased Maximum Energy Shield,
Physical Dmg To Return To Melee Attacker,2,Reflects Physical Damage to Melee Attackers,
Projectile speed +%,-1,% increased Projectile Speed,
Spell Critical Strike Chance +%,7,% increased Critical Strike Chance for Spells,
Spell Dmg +%,8,% increased Spell Damage,
Spell Dmg +% / Base Max Mana,8,% increased Spell Damage,+ to maximum Mana
Weapon Elemental Dmg +%,8,% increased Elemental Damage with Weapons,
Weapon-only Critical Strike Multiplier +%,6,% increased Global Critical Strike Multiplier,
To Mana Cost Of Skills,10,To Mana Cost Of Skills,
+ to Quality of Support Gems in this Item,10,+ to Quality of Support Gems in this Item,
+ to Level of Support Gems in this Item,10,+ to Level of Support Gems in this Item,
Causes Bleeding on Hit,10,Causes Bleeding on Hit,
Hits can't be evaded,10,Hits can't be evaded,
% Increased Life Leech Rate,10,% Increased Life Leech Rate
Prefixes Cannot Be Changed,10,Prefixes Cannot Be Changed
Can have multiple Crafted Mods,10,Can have multiple Crafted Mods
Cannot roll Attack Mods,10,Cannot roll Attack Mods
Suffixes Cannot Be Changed,10,Suffixes Cannot Be Changed
Cannot roll Caster Mods,10,Cannot roll Caster Mods
Cannot roll Mods with Required Level above 28,10,Cannot roll Mods with Required Level above 28
